player,age,minutes_90s,team,position,tackles_interceptions,club,goals_assists_per90,passes_pct,sca_per90,dribbles_completed_pct,shots_on_target_pct,team_cont
Harry Wilson,25,1.8,Wales,MF,2.7777777777777777,Fulham,0.0,75.0,2.25,0.0,0.0,Europe
Hassan Al-Haydos,32,2.3,Qatar,MF,2.608695652173913,Al Sadd SC,0.0,81.3,2.62,33.3,100.0,Asia
Hidemasa Morita,27,3.2,Japan,MF,0.9375,Sporting CP,0.0,82.2,2.84,0.0,33.3,Asia
Hiroki Sakai,32,1.3,Japan,MF,4.615384615384615,Urawa Reds,0.0,59.6,2.02,0.0,0.0,Asia
Hwang Hee-chan,26,1.3,Korea Republic,MF,0.7692307692307692,Wolves,0.78,76.3,2.35,30.0,83.3,Asia
Hwang In-beom,26,3.7,Korea Republic,MF,1.8918918918918919,Olympiacos,0.0,78.5,1.62,0.0,16.7,Asia
Héctor Herrera,32,1.8,Mexico,MF,3.888888888888889,Houston Dynamo,0.0,82.1,1.69,0.0,,North America
Idrissa Gana Gueye,33,3.0,Senegal,MF,2.3333333333333335,Everton,0.0,80.5,2.33,50.0,25.0,Africa
Ismaël Koné,20,1.2,Canada,MF,0.0,CF Montréal,0.0,95.0,1.67,50.0,,North America
Jackson Irvine,29,3.9,Australia,MF,1.794871794871795,St. Pauli,0.0,80.5,0.76,0.0,0.0,Oceania
Jakub Kamiński,20,2.6,Poland,MF,2.3076923076923075,Wolfsburg,0.0,60.7,1.16,40.0,25.0,Europe
Jamal Musiala,19,2.9,Germany,MF,0.6896551724137931,Bayern Munich,0.35,81.0,7.67,52.8,25.0,Europe
Jeremy Sarmiento,20,0.9,Ecuador,MF,3.333333333333333,Brighton,0.0,62.2,3.18,33.3,100.0,South America
Jesper Lindstrøm,22,2.2,Denmark,MF,0.9090909090909091,Eint Frankfurt,0.0,69.2,0.9,33.3,33.3,Europe
Jewison Bennette,18,1.1,Costa Rica,MF,0.0,Sunderland,0.0,78.6,0.0,25.0,0.0,North America
Jhegson Méndez,25,2.0,Ecuador,MF,1.5,Los Angeles FC,0.0,91.4,1.5,0.0,,South America
Joe Allen,32,1.0,Wales,MF,2.0,Swansea City,0.0,83.3,0.96,,0.0,Europe
Jonathan Osorio,30,1.3,Canada,MF,2.3076923076923075,Toronto FC,0.0,91.2,3.78,50.0,0.0,North America
Jordan Henderson,32,3.0,England,MF,1.6666666666666667,Liverpool,0.33,84.0,2.66,0.0,50.0,Europe
Jordan Veretout,29,0.7,France,MF,2.857142857142857,Marseille,0.0,91.7,0.0,,,Europe
Joshua Kimmich,27,3.0,Germany,MF,2.6666666666666665,Bayern Munich,0.0,84.6,6.67,25.0,57.1,Europe
